Time(minutes) Node
360 252026032_32124444
360 32124461_32124463
360 32124467_32124469
360 32124470_32124469
360 254022733_32124470
360 32124469_32124471
360 32124474_32124472
360 32124471_32124472
360 32892179_32124474
360 247810696_32126015
360 32126016_32126015
360 260839863_32126015
360 32216769_32126018
360 260839929_32126018
360 32126022_32126021
360 32126035_32126023
360 32126039_32126024
360 32126026_32126027
360 32126028_32126027
360 32216797_32126039
360 32021995_32126040
360 32126024_32126041
360 32126040_32126041
360 32124442_32216717
360 259568982_32216724
360 32216724_32216726
360 32216726_32216728
360 32216728_32216731
360 32216731_32216733
360 32216755_32216754
360 32216756_32216755
360 32126017_32216769
360 252026031_32217067
360 32217067_32320883
360 32320926_32320925
360 251963498_32320926
360 26485604_32320927
360 32320925_32320927
360 32320927_32320928
360 32320940_32320941
360 254700147_32320949
360 33628997_32320951
360 254021581_32320961
360 251953140_32320970
360 32320970_32320971
360 38430242_32320972
360 32320941_32320974
360 32320984_32320974
360 32320975_32320974
360 255443746_32320975
360 32320974_32320975
360 32320975_32320976
360 32320976_32320979
360 32320980_32320979
360 33703350_32320980
360 32320979_32320980
360 32320983_32320982
360 32320979_32320984
360 26386093_32321003
360 32321004_32321003
360 32321003_32321004
360 32049238_32329827
360 32329827_32329828
360 32329841_32329828
360 27167018_32329829
360 32329832_32329829
360 31917339_32329830
360 32573084_32329832
360 32606515_32329833
360 54094101_32329844
360 32329846_32329847
360 32329847_32329848
360 32329848_32329849
360 255309072_32329850
360 27167044_32329850
360 32329855_32329850
360 32329852_32329851
360 27167042_32329851
360 32329849_32329852
360 54698906_32329855
360 253166887_32329859
360 32329862_32329860
360 32329864_32329862
360 32329875_32329877
360 32329877_32329879
360 32329898_32329889
360 32329905_32329903
360 253165621_32329907
360 253165970_32329909
360 32329912_32329910
360 32329914_32329912
360 252417810_32329914
360 253167002_32329915
360 162224405_32329916
360 162224853_32329917
360 170591366_32329919
360 253213099_32329945
360 253213094_32329946
360 27167664_32329952
360 32329954_32329952
360 31156298_32329970
360 31156295_32329970
360 32329971_32329970
360 32329970_32329971
360 31156292_32329971
360 254021313_32333986
360 254021458_32333987
360 254021636_32333987
360 32627824_32333989
360 254021313_32333992
360 254021449_32333996
360 254021449_32333997
360 254021454_32333997
360 35231815_32335043
360 32528054_32528045
360 254515300_32528046
360 32528057_32528046
360 254515301_32528047
360 32528060_32528047
360 32528052_32528048
360 60861982_32528052
360 32528064_32528061
360 254515295_32528063
360 90365778_32528063
360 32528066_32528065
360 32528077_32528065
360 254518076_32528066
360 32528068_32528067
360 254515296_32528068
360 32528082_32528068
360 32528074_32528071
360 32528073_32528072
360 32528071_32528073
360 32528079_32528077
360 32597389_32528079
360 32528080_32528079
360 221974454_32528082
360 34520513_32528257
360 32528261_32528259
360 32528261_32528260
360 32528259_32528261
360 32528260_32528261
360 32528260_32528262
360 32572234_32528263
360 255152630_32528263
360 255152630_32528264
360 32528265_32528264
360 32528264_32528265
360 32892177_32528265
360 32892162_32528266
360 224797838_32528266
360 32528268_32528267
360 32528267_32528268
360 32528269_32528268
360 260809198_32528268
360 32572882_32528268
360 32528270_32528269
360 32528271_32528270
360 32528272_32528271
360 224753300_32528272
360 32528271_32528272
360 32528277_32528278
360 251855420_32528279
360 32528291_32528292
360 209167550_32528293
360 32528293_32528294
360 255067845_32528294
360 251855288_32528299
360 32528885_32528884
360 32528889_32528888
360 247808874_32528888
360 251855311_32528889
360 32528890_32528889
360 32528300_32528890
360 32528891_32528890
360 251855379_32528891
360 32528888_32528891
360 251855378_32528892
360 35966863_32529957
360 252347408_32529962
360 252347406_32529962
360 252347371_32529965
360 252347409_32529966
360 32909729_32551927
360 32551928_32551929
360 32551932_32551930
360 32551933_32551932
360 32551935_32551933
360 31158661_32551934
360 254504904_32551935
360 34533196_32551935
360 32552943_32552930
360 32552935_32552932
360 252347430_32552936
360 31156839_32552936
360 46855442_32552937
360 46855445_32552937
360 46855436_32552938
360 46855442_32552938
360 46855421_32552939
360 46855436_32552939
360 46855460_32552940
360 46855421_32552940
360 46855460_32552941
360 46855445_32552943
360 247488506_32553122
360 32553123_32553122
360 32528059_32553124
360 32553132_32553133
360 119272631_32553382
360 32915585_32572228
