Nodes:
NodeId Latitude Longitude
26118703 52,1660624 21,0246738
26118704 52,1659623 21,0257043
26118705 52,165857 21,0260133
26118706 52,1654793 21,0264132
26118707 52,1651801 21,0266046
26118708 52,1675358 21,0140609
26118709 52,1689481 21,0113216
26118710 52,1706606 21,0075939
26118711 52,1724176 21,0042801
26118712 52,1741448 21,0029987
26118713 52,1730519 21,0036727
26118714 52,1658297 21,0172738
26195346 52,1889522 21,0021617
26195349 52,1887902 20,992823
26195355 52,1892079 20,9890641
26195361 52,1889183 20,9904771
26195369 52,189036 20,989574
26195377 52,1855484 20,9928103
26195382 52,1855683 20,9975636
26195390 52,1779646 21,0025837
26195396 52,1791638 20,9972059
26195403 52,1787077 20,9995117
26195410 52,1784283 21,0007856
26195418 52,1779577 21,0023862
26195424 52,2201394 21,0047771
26195448 52,2200228 21,0120259
26195454 52,2126512 21,0177703
26195459 52,2120916 21,0154807
26195464 52,2115628 21,0126878
26195471 52,2110454 21,0094768
26195478 52,1968856 20,9929336
26195485 52,1977397 20,9883795
26195490 52,152904 21,0178508
26195502 52,1557452 21,0177789
26195507 52,1557391 21,0174316
26195512 52,2169976 21,0143761
26195518 52,1979644 20,9884686
26195523 52,1531568 21,0162114
26195530 52,1532147 21,0170268
26195537 52,153299 21,0171899
26195542 52,1535359 21,0173959
26195546 52,1542931 21,0174627
26195555 52,153399 21,0148296
26206597 52,1277161 21,0175344
26206600 52,126502 21,0175418
26206603 52,1690552 20,9995387
26206606 52,1683167 21,0026828
26206607 52,1673929 21,0066867
26206608 52,1684732 21,0073589
26206611 52,167549 21,0096875
26206614 52,1670143 21,0118126
26206617 52,1681506 21,0125636
26308848 52,1954271 21,0022114
26308849 52,1952873 21,0034964
26308850 52,1952456 21,0049048
26308851 52,195287 21,0067632
26308852 52,1928952 21,0077857
26308853 52,1932959 21,0100299
26308854 52,1917865 21,0107111
26308855 52,1914659 21,0107245
26308856 52,1912254 21,0105642
26308857 52,190985 21,0103237
26308858 52,1907445 21,0098161
26308859 52,1901701 21,0081063
26308860 52,1899564 21,0074116
26308861 52,1897197 21,0074228
26308862 52,1890617 21,0074465
26308863 52,1877272 21,0074283
26308864 52,183349 21,0075819
26308865 52,1834242 21,0141183
26308867 52,177264 21,0025955
